rowNumber,Equipe,Classement FIFA,No.,Joueur,Position,Date de naissance,Age,Selections,Championnat,Club
501,Bosnie-Herzegovine,21,21,Tino-Sven Susic,3. Milieu,13 février 1992,22,2,Croatie,"Hajduk Split  "
502,Bosnie-Herzegovine,21,10,Zvjezdan Misimovic,3. Milieu,5 juin 1982,32,82,Chine,"Guizhou Renhe  "
503,Bosnie-Herzegovine,21,11,Edin Dzeko,4. Attaquant,17 mars 1986,28,62,Angleterre,"Manchester City  "
504,Bosnie-Herzegovine,21,19,Edin Visca,4. Attaquant,17 février 1990,24,10,Turquie,"İstanbul BB  "
505,Bosnie-Herzegovine,21,9,Vedad Ibisevic,4. Attaquant,6 août 1984,29,55,Allemagne,"VfB Stuttgart  "
506,Iran,43,12,Alireza Haghighi,1. Gardien,2 mai 1988,26,5,Portugal,"Sporting Covilhã  "
507,Iran,43,22,Daniel Davari,1. Gardien,6 janvier 1988,26,4,Allemagne,"Eintracht Braunschweig  "
508,Iran,43,1,Rahman Ahmadi,1. Gardien,30 juillet 1980,33,10,Iran,"Sepahan   "
509,Iran,43,17,Ahmad Alnameh,2. Defenseur,10 octobre 1982,31,9,Iran,"Naft Tehran  "
510,Iran,43,5,Amir Hossein Sadeghi,2. Defenseur,6 septembre 1981,32,16,Iran,"Esteghlal   "
511,Iran,43,19,Hashem Beikzadeh,2. Defenseur,22 janvier 1984,30,17,Iran,"Esteghlal   "
512,Iran,43,13,Hossein Mahini,2. Defenseur,16 septembre 1986,27,21,Iran,"Persepolis   "
513,Iran,43,4,Jalal Hosseini,2. Defenseur,3 février 1982,32,84,Iran,"Persepolis   "
514,Iran,43,23,Mehrdad Pouladi,2. Defenseur,26 février 1987,27,19,Iran,"Persepolis   "
515,Iran,43,15,Pejman Montazeri,2. Defenseur,6 septembre 1983,30,21,Qatar,"Umm Salal  "
516,Iran,43,20,Steven Beitashour,2. Defenseur,1 février 1987,27,6,Etats-Unis,"Vancouver Whitecaps  "
517,Iran,43,14,Andranik Teymourian,3. Milieu,6 mars 1983,31,78,Iran,"Esteghlal   "
518,Iran,43,21,Ashkan Dejagah,3. Milieu,5 juillet 1986,27,13,Angleterre,"Fulham   "
519,Iran,43,18,Bakhtiar Rahmani,3. Milieu,23 septembre 1991,22,4,Iran,"Foolad   "
520,Iran,43,3,Ehsan Hajsafi,3. Milieu,25 février 1990,24,61,Iran,"Sepahan   "
521,Iran,43,11,Ghasem Haddadifar,3. Milieu,12 juillet 1983,30,16,Iran,"Zob Ahan  "
522,Iran,43,6,Javad Nekounam (c),3. Milieu,7 octobre 1980,33,139,Koweit,"Al-Kuwait   "
523,Iran,43,2,Khosro Heydari,3. Milieu,14 septembre 1983,30,48,Iran,"Esteghlal   "
524,Iran,43,7,Masoud Shojaei,3. Milieu,9 juin 1984,29,49,Espagne,"Las Palmas  "
525,Iran,43,8,Reza Haghighi,3. Milieu,1 février 1989,25,7,Iran,"Persepolis   "
526,Iran,43,9,Alireza Jahanbakhsh,4. Attaquant,11 août 1993,20,6,Pays-Bas,"NEC   "
527,Iran,43,10,Karim Ansarifard,4. Attaquant,3 avril 1990,24,41,Iran,"Tractor Sazi  "
528,Iran,43,16,Reza Ghoochannejhad,4. Attaquant,20 septembre 1987,26,13,Angleterre,"Charlton Athletic  "
529,Nigeria,44,16,Austin Ejide,1. Gardien,8 avril 1984,30,32,Israel,"Hapoel Be'er Sheva "
530,Nigeria,44,21,Chigozie Agbim,1. Gardien,28 novembre 1984,29,11,Nigeria,"Gombe United  "
531,Nigeria,44,1,Vincent Enyeama (c),1. Gardien,29 août 1982,31,90,France,"Lille   "
532,Nigeria,44,6,Azubuike Egwuekwe,2. Defenseur,16 juillet 1989,24,32,Nigeria,"Warri Wolves  "
533,Nigeria,44,5,Efe Ambrose,2. Defenseur,18 octobre 1988,25,36,Ecosse,"Celtic   "
534,Nigeria,44,14,Go2. Defenseurrey Oboabona,2. Defenseur,16 août 1990,23,35,Turquie,"caykur Rizespor  "
535,Nigeria,44,2,Joseph Yobo,2. Defenseur,6 septembre 1980,33,96,Angleterre,"Norwich City  "
536,Nigeria,44,13,Juwon Oshaniwa,2. Defenseur,14 septembre 1990,23,10,Israel,"Ashdod   "
537,Nigeria,44,22,Kenneth Omeruo,2. Defenseur,17 octobre 1993,20,17,Angleterre,"Middlesbrough   "
538,Nigeria,44,12,Kunle Odunlami,2. Defenseur,5 mars 1990,24,10,Nigeria,"Sunshine Stars  "
539,Nigeria,44,3,Uwa Elderson Echiejile,2. Defenseur,20 janvier 1988,26,42,France,"Monaco   "
540,Nigeria,44,10,John Obi Mikel,3. Milieu,22 avril 1987,27,59,Angleterre,"Chelsea   "
541,Nigeria,44,18,Michael Babatunde,3. Milieu,24 décembre 1992,21,4,Ukraine,"Volyn Lutsk  "
542,Nigeria,44,17,Ogenyi Onazi,3. Milieu,25 décembre 1992,21,20,Italie,"Lazio   "
543,Nigeria,44,15,Ramon Azeez,3. Milieu,12 décembre 1992,21,1,Espagne,"Almeria   "
544,Nigeria,44,4,Reuben Gabriel,3. Milieu,25 septembre 1990,23,11,Belgique,"Waasland-Beveren   "
545,Nigeria,44,11,Victor Moses,3. Milieu,12 décembre 1990,23,20,Angleterre,"Liverpool   "
546,Nigeria,44,7,Ahmed Musa,4. Attaquant,14 octobre 1992,21,35,Russie,"CSKA Moscow  "
547,Nigeria,44,9,Emmanuel Emenike,4. Attaquant,10 mai 1987,27,22,Turquie,"Fenerbahce   "
548,Nigeria,44,20,Michael Uchebo,4. Attaquant,2 février 1990,24,3,Belgique,"Cercle Brugge  "
549,Nigeria,44,8,Peter Odemwingie,4. Attaquant,15 juillet 1981,32,60,Angleterre,"Stoke City  "
550,Nigeria,44,23,Shola Ameobi,4. Attaquant,12 octobre 1981,32,6,Angleterre,"Newcastle United  "
551,Nigeria,44,19,Uche Nwofor,4. Attaquant,17 septembre 1991,22,6,Pays-Bas,"Heerenveen   "
552,Allemagne,2,1,Manuel Neuer,1. Gardien,27 mars 1986,28,45,Allemagne,"Bayern Munich  "
553,Allemagne,2,22,Roman Weidenfeller,1. Gardien,6 août 1980,33,2,Allemagne,"Borussia Dortmund  "
554,Allemagne,2,12,Ron-Robert Zieler,1. Gardien,12 février 1989,25,3,Allemagne,"Hannover 96  "
555,Allemagne,2,4,Benedikt Höwedes,2. Defenseur,29 février 1988,26,20,Allemagne,"Schalke 4  "
556,Allemagne,2,15,Erik Durm,2. Defenseur,12 mai 1992,22,1,Allemagne,"Borussia Dortmund  "
557,Allemagne,2,20,Jerôme Boateng,2. Defenseur,3 septembre 1988,25,38,Allemagne,"Bayern Munich  "
558,Allemagne,2,2,Kevin Großkreutz,2. Defenseur,19 juillet 1988,25,4,Allemagne,"Borussia Dortmund  "
559,Allemagne,2,5,Mats Hummels,2. Defenseur,16 décembre 1988,25,29,Allemagne,"Borussia Dortmund  "
560,Allemagne,2,17,Per Mertesacker,2. Defenseur,29 septembre 1984,29,97,Angleterre,"Arsenal   "
561,Allemagne,2,16,Philipp Lahm (c),2. Defenseur,11 novembre 1983,30,105,Allemagne,"Bayern Munich  "
562,Allemagne,2,9,Andre Schürrle,3. Milieu,6 novembre 1990,23,32,Angleterre,"Chelsea   "
563,Allemagne,2,7,Bastian Schweinsteiger,3. Milieu,1 août 1984,29,101,Allemagne,"Bayern Munich  "
564,Allemagne,2,23,Christoph Kramer,3. Milieu,12 février 1991,23,2,Allemagne,"Borussia Mönchengladbach  "
565,Allemagne,2,14,Julian Draxler,3. Milieu,20 septembre 1993,20,11,Allemagne,"Schalke 4  "
566,Allemagne,2,19,Mario Götze,3. Milieu,3 juin 1992,22,28,Allemagne,"Bayern Munich  "
567,Allemagne,2,3,Matthias Ginter,3. Milieu,19 janvier 1994,20,2,Allemagne,"SC Freiburg  "
568,Allemagne,2,8,Mesut Özil,3. Milieu,15 octobre 1988,25,54,Angleterre,"Arsenal   "
569,Allemagne,2,6,Sami Khedira,3. Milieu,4 avril 1987,27,45,Espagne,"Real Madrid  "
570,Allemagne,2,13,Thomas Müller,3. Milieu,13 septembre 1989,24,48,Allemagne,"Bayern Munich  "
571,Allemagne,2,18,Toni Kroos,3. Milieu,4 janvier 1990,24,43,Allemagne,"Bayern Munich  "
572,Allemagne,2,10,Lukas Podolski,4. Attaquant,4 juin 1985,29,113,Angleterre,"Arsenal   "
573,Allemagne,2,11,Miroslav Klose,4. Attaquant,9 juin 1978,35,131,Italie,"Lazio   "
574,Allemagne,2,21,Shkodran Mustafi,Défenseur,17 avril 1992,22,1,Italie,Sampdoria
575,Etats-Unis,13,12,Brad Guzan,1. Gardien,9 septembre 1984,29,25,Angleterre,"Aston Villa  "
576,Etats-Unis,13,22,Nick Rimando,1. Gardien,17 juin 1979,34,14,Etats-Unis,"Real Salt Lake "
577,Etats-Unis,13,1,Tim Howard,1. Gardien,6 mars 1979,35,99,Angleterre,"Everton   "
578,Etats-Unis,13,7,DaMarcus Beasley,2. Defenseur,24 mai 1982,32,115,Mexique,"Puebla   "
579,Etats-Unis,13,2,DeAndre Yedlin,2. Defenseur,9 juillet 1993,20,4,Etats-Unis,"Seattle Sounders FC "
580,Etats-Unis,13,23,Fabian Johnson,2. Defenseur,11 décembre 1987,26,21,Allemagne,"1899 Hoffenheim  "
581,Etats-Unis,13,20,Geoff Cameron,2. Defenseur,11 juillet 1985,28,26,Angleterre,"Stoke City  "
582,Etats-Unis,13,6,John Brooks,2. Defenseur,28 janvier 1993,21,4,Allemagne,"Hertha BSC  "
583,Etats-Unis,13,5,Matt Besler,2. Defenseur,11 février 1987,27,16,Etats-Unis,"Sporting Kansas City "
584,Etats-Unis,13,3,Omar Gonzalez,2. Defenseur,11 octobre 1988,25,19,Etats-Unis,"Los Angeles Galaxy "
585,Etats-Unis,13,21,Timothy Chandler,2. Defenseur,29 mars 1990,24,12,Allemagne,"1. FC Nürnberg "
586,Etats-Unis,13,11,Alejandro Bedoya,3. Milieu,29 avril 1987,27,27,France,"Nantes   "
587,Etats-Unis,13,14,Brad Davis,3. Milieu,8 novembre 1981,32,16,Etats-Unis,"Houston Dynamo  "
588,Etats-Unis,13,19,Graham Zusi,3. Milieu,18 août 1986,27,22,Etats-Unis,"Sporting Kansas City "
589,Etats-Unis,13,13,Jermaine Jones,3. Milieu,3 novembre 1981,32,41,Turquie,"Besiktas   "
590,Etats-Unis,13,16,Julian Green,3. Milieu,6 juin 1995,19,2,Allemagne,"Bayern Munich  "
591,Etats-Unis,13,15,Kyle Beckerman,3. Milieu,23 avril 1982,32,36,Etats-Unis,"Real Salt Lake "
592,Etats-Unis,13,4,Michael Bradley,3. Milieu,31 juillet 1987,26,85,Etats-Unis,"Toronto FC  "
593,Etats-Unis,13,10,Mikkel Diskerud,3. Milieu,2 octobre 1990,23,19,Norvege,"Rosenborg   "
594,Etats-Unis,13,9,Aron Johannsson,4. Attaquant,10 novembre 1990,23,8,Pays-Bas,"AZ   "
595,Etats-Unis,13,18,Chris Wondolowski,4. Attaquant,28 janvier 1983,31,20,Etats-Unis,"San Jose Earthquakes "
596,Etats-Unis,13,8,Clint Dempsey (c),4. Attaquant,9 mars 1983,31,104,Etats-Unis,"Seattle Sounders FC "
597,Etats-Unis,13,17,Jozy Altidore,4. Attaquant,6 novembre 1989,24,69,Angleterre,"Sunderland   "
598,Ghana,37,12,Adam Kwarasey,1. Gardien,12 décembre 1987,26,21,Norvege,"Strømsgodset   "
599,Ghana,37,16,Fatau Dauda,1. Gardien,6 avril 1985,29,17,Afrique du Sud,"Orlando Pirates  "
600,Ghana,37,1,Steven Adams,1. Gardien,28 septembre 1989,24,7,Ghana,"Aduana Stars  "
601,Ghana,37,4,Daniel Opare,2. Defenseur,18 octobre 1990,23,16,Belgique,"Standard Liege  "
602,Ghana,37,23,Harrison Afful,2. Defenseur,24 juin 1986,27,40,Tunisie,"Esperance   "
603,Ghana,37,21,John Boye,2. Defenseur,23 avril 1987,27,29,France,"Rennes   "
604,Ghana,37,19,Jonathan Mensah,2. Defenseur,13 juillet 1990,23,26,France,"evian   "
605,Ghana,37,15,Rashid Sumaila,2. Defenseur,18 décembre 1992,21,6,Afrique du Sud,"Mamelodi Sundowns  "
606,Ghana,37,2,Samuel Inkoom,2. Defenseur,1 juin 1989,25,46,Grece,"Platanias   "
607,Ghana,37,6,Acquah Afriyie,3. Milieu,5 janvier 1992,22,4,Italie,"Parma   "
608,Ghana,37,14,Albert Adomah,3. Milieu,13 décembre 1987,26,14,Angleterre,"Middlesbrough   "
609,Ghana,37,10,Andre Ayew,3. Milieu,17 décembre 1989,24,48,France,"Marseille   "
610,Ghana,37,7,Christian Atsu,3. Milieu,10 janvier 1992,22,22,Pays-Bas,"Vitesse   "
611,Ghana,37,8,Emmanuel Agyemang-Badu,3. Milieu,2 décembre 1990,23,48,Italie,"Udinese   "
612,Ghana,37,20,Kwadwo Asamoah,3. Milieu,9 décembre 1988,25,61,Italie,"Juventus   "
613,Ghana,37,5,Michael Essien,3. Milieu,3 décembre 1982,31,57,Italie,"Milan   "
614,Ghana,37,17,Mohammed Rabiu,3. Milieu,31 décembre 1989,24,16,Russie,"Kuban Krasnodar  "
615,Ghana,37,11,Sulley Muntari,3. Milieu,27 août 1984,29,81,Italie,"Milan   "
616,Ghana,37,22,Wakaso Mubarak,3. Milieu,25 juillet 1990,23,16,Russie,"Rubin Kazan  "
617,Ghana,37,3,Asamoah Gyan (c),4. Attaquant,22 novembre 1985,28,78,EAU,"Al-Ain   "
618,Ghana,37,13,Jordan Ayew,4. Attaquant,11 septembre 1991,22,12,France,"Sochaux   "
619,Ghana,37,9,Kevin-Prince Boateng,4. Attaquant,6 mars 1987,27,12,Allemagne,"Schalke 4  "
620,Ghana,37,18,Majeed Waris,4. Attaquant,19 septembre 1991,22,9,France,"Valenciennes   "
621,Portugal,4,22,Beto,1. Gardien,1 mai 1982,32,7,Espagne,"Sevilla   "
622,Portugal,4,1,Eduardo,1. Gardien,19 septembre 1982,31,33,Portugal,"Braga   "
623,Portugal,4,12,Rui Patricio,1. Gardien,15 février 1988,26,29,Portugal,"Sporting   "
624,Portugal,4,19,Andre Almeida,2. Defenseur,10 septembre 1990,23,3,Portugal,"Benfica   "
625,Portugal,4,2,Bruno Alves,2. Defenseur,27 novembre 1981,32,71,Turquie,"Fenerbahce   "
626,Portugal,4,5,Fabio Coentrão,2. Defenseur,11 mars 1988,26,43,Espagne,"Real Madrid  "
627,Portugal,4,21,João Pereira,2. Defenseur,25 février 1984,30,35,Espagne,"Valencia   "
628,Portugal,4,14,Luis Neto,2. Defenseur,26 mai 1988,26,7,Russie,"Zenit Saint Petersburg "
629,Portugal,4,3,Pepe,2. Defenseur,26 février 1983,31,57,Espagne,"Real Madrid  "
630,Portugal,4,13,Ricardo Costa,2. Defenseur,16 mai 1981,33,18,Espagne,"Valencia   "
631,Portugal,4,8,João Moutinho,3. Milieu,8 septembre 1986,27,66,France,"Monaco   "
632,Portugal,4,4,Miguel Veloso,3. Milieu,11 mai 1986,28,47,Ukraine,"Dynamo Kyiv  "
633,Portugal,4,17,Nani,3. Milieu,17 novembre 1986,27,73,Angleterre,"Manchester United  "
634,Portugal,4,15,Rafa Silva,3. Milieu,17 mai 1993,21,2,Portugal,"Braga   "
635,Portugal,4,16,Raul Meireles,3. Milieu,17 mars 1983,31,73,Turquie,"Fenerbahce   "
636,Portugal,4,20,Ruben Amorim,3. Milieu,27 janvier 1985,29,11,Portugal,"Benfica   "
637,Portugal,4,18,Silvestre Varela,3. Milieu,2 février 1985,29,22,Portugal,"Porto   "
638,Portugal,4,10,Vieirinha,3. Milieu,24 janvier 1986,28,7,Allemagne,"VfL Wolfsburg  "
639,Portugal,4,6,William Carvalho,3. Milieu,7 avril 1992,22,3,Portugal,"Sporting   "
640,Portugal,4,7,Cristiano Ronaldo (c),4. Attaquant,5 février 1985,29,110,Espagne,"Real Madrid  "
641,Portugal,4,11,eder,4. Attaquant,22 décembre 1987,26,7,Portugal,"Braga   "
642,Portugal,4,23,Helder Postiga,4. Attaquant,2 août 1982,31,67,Italie,"Lazio   "
643,Portugal,4,9,Hugo Almeida,4. Attaquant,23 mai 1984,30,54,Turquie,"Besiktas   "
644,Algerie,22,1,Cedric Si Mohamed,1. Gardien,9 janvier 1985,29,1,Algerie,"CS Constantine  "
645,Algerie,22,16,Mohamed Zemmamouche,1. Gardien,19 mars 1985,29,7,Algerie,"USM Alger  "
646,Algerie,22,23,Raes M'Bolhi,1. Gardien,25 avril 1986,28,27,Bulgarie,"CSKA Sofia  "
647,Algerie,22,20,Aissa Mandi,2. Defenseur,22 octobre 1991,22,2,France,"Reims   "
648,Algerie,22,7,Carl Medjani,2. Defenseur,15 mai 1985,29,25,France,"Valenciennes   "
649,Algerie,22,6,Djamel Mesbah,2. Defenseur,9 octobre 1984,29,26,Italie,"Livorno   "
650,Algerie,22,4,Essaed Belkalem,2. Defenseur,1 janvier 1989,25,13,Angleterre,"Watford   "
651,Algerie,22,3,Faouzi Ghoulam,2. Defenseur,1 février 1991,23,5,Italie,"Napoli   "
652,Algerie,22,17,Liassine Cadamuro-Bentaeba,2. Defenseur,5 mars 1988,26,6,Espagne,"Mallorca   "
653,Algerie,22,2,Madjid Bougherra (c),2. Defenseur,7 octobre 1982,31,61,Qatar,"Lekhwiya   "
654,Algerie,22,5,Rafik Halliche,2. Defenseur,2 septembre 1986,27,28,Portugal,"Academica   "
655,Algerie,22,18,Abdelmoumene Djabou,3. Milieu,31 janvier 1987,27,76,Tunisie,"Club Africain  "
656,Algerie,22,8,Hassan Yebda,3. Milieu,14 mai 1984,30,24,Italie,"Udinese   "
657,Algerie,22,12,Medhi Lacen,3. Milieu,15 mai 1984,30,29,Espagne,"Getafe   "
658,Algerie,22,22,Mehdi Mostefa,3. Milieu,30 août 1983,30,22,France,"Ajaccio   "
659,Algerie,22,14,Nabil Bentaleb,3. Milieu,24 novembre 1994,19,2,Angleterre,"Tottenham Hotspur  "
660,Algerie,22,21,Riyad Mahrez,3. Milieu,21 février 1991,23,1,Angleterre,"Leicester City  "
661,Algerie,22,19,Saphir Taeder,3. Milieu,29 février 1992,22,10,Italie,"Internazionale   "
662,Algerie,22,10,Sofiane Feghouli,3. Milieu,26 décembre 1989,24,18,Espagne,"Valencia   "
663,Algerie,22,11,Yacine Brahimi,3. Milieu,8 février 1990,24,5,Espagne,"Granada   "
664,Algerie,22,15,El Arbi Hillel Soudani,4. Attaquant,25 novembre 1987,26,21,Croatie,"Dinamo Zagreb  "
665,Algerie,22,13,Islam Slimani,4. Attaquant,18 juin 1988,25,19,Portugal,"Sporting CP  "
666,Algerie,22,9,Nabil Ghilas,4. Attaquant,20 avril 1990,24,5,Portugal,"Porto   "
667,Belgique,11,13,Sammy Bossut,1. Gardien,11 août 1985,28,1,Belgique,"Zulte Waregem  "
668,Belgique,11,12,Simon Mignolet,1. Gardien,6 août 1988,25,14,Angleterre,"Liverpool   "
669,Belgique,11,1,Thibaut Courtois,1. Gardien,11 mai 1992,22,16,Espagne,"Atletico Madrid  "
670,Belgique,11,21,Anthony Vanden Borre,2. Defenseur,24 octobre 1987,26,25,Belgique,"Anderlecht   "
671,Belgique,11,15,Daniel Van Buyten,2. Defenseur,7 février 1978,36,79,Allemagne,"Bayern Munich  "
672,Belgique,11,5,Jan Vertonghen,2. Defenseur,24 avril 1987,27,56,Angleterre,"Tottenham Hotspur  "
673,Belgique,11,23,Laurent Ciman,2. Defenseur,5 août 1985,28,8,Belgique,"Standard Liege  "
674,Belgique,11,18,Nicolas Lombaerts,2. Defenseur,20 mars 1985,29,26,Russie,"Zenit Saint Petersburg "
675,Belgique,11,3,Thomas Vermaelen,2. Defenseur,14 novembre 1985,28,48,Angleterre,"Arsenal   "
676,Belgique,11,2,Toby Alderweireld,2. Defenseur,2 mars 1989,25,34,Espagne,"Atletico Madrid  "
677,Belgique,11,4,Vincent Kompany (c),2. Defenseur,10 avril 1986,28,59,Angleterre,"Manchester City  "
678,Belgique,11,20,Adnan Januzaj,3. Milieu,5 février 1995,19,1,Angleterre,"Manchester United  "
679,Belgique,11,6,Axel Witsel,3. Milieu,12 janvier 1989,25,48,Russie,"Zenit Saint Petersburg "
680,Belgique,11,10,Eden Hazard,3. Milieu,7 janvier 1991,23,45,Angleterre,"Chelsea   "
681,Belgique,11,7,Kevin De Bruyne,3. Milieu,28 juin 1991,22,22,Allemagne,"VfL Wolfsburg  "
682,Belgique,11,11,Kevin Mirallas,3. Milieu,5 octobre 1987,26,44,Angleterre,"Everton   "
683,Belgique,11,8,Marouane Fellaini,3. Milieu,22 novembre 1987,26,50,Angleterre,"Manchester United  "
684,Belgique,11,19,Mousa Dembele,3. Milieu,16 juillet 1987,26,55,Angleterre,"Tottenham Hotspur  "
685,Belgique,11,22,Nacer Chadli,3. Milieu,2 octobre 1989,24,20,Angleterre,"Tottenham Hotspur  "
686,Belgique,11,16,Steven Defour,3. Milieu,15 avril 1988,26,43,Portugal,"Porto   "
687,Belgique,11,17,Divock Origi,4. Attaquant,18 avril 1995,19,2,France,"Lille   "
688,Belgique,11,14,Dries Mertens,4. Attaquant,6 mai 1987,27,24,Italie,"Napoli   "
689,Belgique,11,9,Romelu Lukaku,4. Attaquant,13 mai 1993,21,29,Angleterre,"Everton   "
690,Coree du Sud,57,1,Jung Sung-Ryong,1. Gardien,4 janvier 1985,29,60,Coree du Sud,"Suwon Bluewings  "
691,Coree du Sud,57,21,Kim Seung-Gyu,1. Gardien,30 septembre 1990,23,5,Coree du Sud,"Ulsan Hyundai  "
692,Coree du Sud,57,23,Lee Bum-Young,1. Gardien,2 avril 1989,25,0,Coree du Sud,"Busan I'Park  "
693,Coree du Sud,57,20,Hong Jeong-Ho,2. Defenseur,12 août 1989,24,24,Allemagne,"FC Augsburg  "
694,Coree du Sud,57,6,Hwang Seok-Ho,2. Defenseur,27 juin 1989,24,3,Japon,"Sanfrecce Hiroshima  "
695,Coree du Sud,57,2,Kim Chang-Soo,2. Defenseur,12 septembre 1985,28,8,Japon,"Kashiwa Reysol  "
696,Coree du Sud,57,5,Kim Young-Gwon,2. Defenseur,27 février 1990,24,20,Chine,"Guangzhou Evergrande  "
697,Coree du Sud,57,4,Kwak Tae-Hwi,2. Defenseur,8 juillet 1981,32,34,Arabie Saoudite,"Al-Hilal   "
698,Coree du Sud,57,12,Lee Yong,2. Defenseur,24 décembre 1986,27,11,Coree du Sud,"Ulsan Hyundai  "
699,Coree du Sud,57,22,Park Joo-Ho,2. Defenseur,16 janvier 1987,27,13,Allemagne,"Mainz 5  "
700,Coree du Sud,57,3,Yun Suk-Young,2. Defenseur,13 février 1990,24,3,Angleterre,"Queens Park Rangers "
701,Coree du Sud,57,8,Ha Dae-Sung,3. Milieu,2 mars 1985,29,13,Chine,"Beijing Guoan  "
702,Coree du Sud,57,14,Han Kook-Young,3. Milieu,19 avril 1990,24,9,Japon,"Kashiwa Reysol  "
703,Coree du Sud,57,16,Ki Sung-Yueng,3. Milieu,24 janvier 1989,25,58,Angleterre,"Sunderland   "
704,Coree du Sud,57,7,Kim Bo-Kyung,3. Milieu,6 octobre 1989,24,27,Angleterre,"Cardiff City  "
705,Coree du Sud,57,13,Koo Ja-Cheol (c),3. Milieu,27 février 1989,25,36,Allemagne,"Mainz 5  "
706,Coree du Sud,57,17,Lee Chung-Yong,3. Milieu,2 juillet 1988,25,54,Angleterre,"Bolton Wanderers  "
707,Coree du Sud,57,15,Park Jong-Woo,3. Milieu,10 mars 1989,25,10,Chine,"Guangzhou R&F  "
708,Coree du Sud,57,19,Ji Dong-Won,4. Attaquant,28 mai 1991,23,27,Allemagne,"FC Augsburg  "
709,Coree du Sud,57,18,Kim Shin-Wook,4. Attaquant,14 avril 1988,26,26,Coree du Sud,"Ulsan Hyundai  "
710,Coree du Sud,57,11,Lee Keun-Ho,4. Attaquant,11 avril 1985,29,63,Coree du Sud,"Sangju Sangmu  "
711,Coree du Sud,57,10,Park Chu-Young,4. Attaquant,10 juillet 1985,28,63,Angleterre,"Watford   "
712,Coree du Sud,57,9,Son Heung-Min,4. Attaquant,8 juillet 1992,21,24,Allemagne,"Bayer Leverkusen  "
713,Russie,19,1,Igor Akinfeev,1. Gardien,8 avril 1986,28,67,Russie,"CSKA Moscow  "
714,Russie,19,16,Sergey Ryzhikov,1. Gardien,19 septembre 1980,33,1,Russie,"Rubin Kazan  "
715,Russie,19,12,Yuri Lodygin,1. Gardien,26 mai 1990,24,2,Russie,"Zenit Saint Petersburg "
716,Russie,19,2,Aleksei Kozlov,2. Defenseur,16 novembre 1986,27,10,Russie,"Dynamo Moscow  "
717,Russie,19,6,Andrei Semyonov,2. Defenseur,24 mars 1989,25,1,Russie,"Terek Grozny  "
718,Russie,19,22,Andrey Yeshchenko,2. Defenseur,9 février 1984,30,11,Russie,"Anzhi Makhachkala  "
719,Russie,19,23,Dmitri Kombarov,2. Defenseur,22 janvier 1987,27,21,Russie,"Spartak Moscow  "
720,Russie,19,3,Georgi Shchennikov,2. Defenseur,27 avril 1991,23,3,Russie,"CSKA Moscow  "
721,Russie,19,4,Sergei Ignashevich,2. Defenseur,14 juillet 1979,34,95,Russie,"CSKA Moscow  "
722,Russie,19,14,Vasili Berezutski,2. Defenseur,20 juin 1982,31,77,Russie,"CSKA Moscow  "
723,Russie,19,13,Vladimir Granat,2. Defenseur,22 mai 1987,27,4,Russie,"Dynamo Moscow  "
724,Russie,19,10,Alan Dzagoev,3. Milieu,17 juin 1990,23,31,Russie,"CSKA Moscow  "
725,Russie,19,8,Denis Glushakov,3. Milieu,27 janvier 1987,27,26,Russie,"Spartak Moscow  "
726,Russie,19,7,Igor Denisov,3. Milieu,17 mai 1984,30,42,Russie,"Dynamo Moscow  "
727,Russie,19,17,Oleg Shatov,3. Milieu,29 juillet 1990,23,6,Russie,"Zenit Saint Petersburg "
728,Russie,19,15,Pavel Mogilevets,3. Milieu,25 janvier 1993,21,1,Russie,"Rubin Kazan  "
729,Russie,19,20,Viktor Fayzulin,3. Milieu,22 avril 1986,28,18,Russie,"Zenit Saint Petersburg "
730,Russie,19,11,Aleksandr Kerzhakov,4. Attaquant,27 novembre 1982,31,79,Russie,"Zenit Saint Petersburg "
731,Russie,19,9,Aleksandr Kokorin,4. Attaquant,19 mars 1991,23,20,Russie,"Dynamo Moscow  "
732,Russie,19,19,Aleksandr Samedov,4. Attaquant,19 juillet 1984,29,16,Russie,"Lokomotiv Moscow  "
733,Russie,19,18,Aleksei Ionov,4. Attaquant,18 février 1989,25,5,Russie,"Dynamo Moscow  "
734,Russie,19,21,Maksim Kanunnikov,4. Attaquant,14 juillet 1991,22,2,Russie,"Rubin Kazan  "
735,Russie,19,5,Yuri Zhirkov,4. Attaquant,20 août 1983,30,59,Russie,"Dynamo Moscow  "
