rowNumber,sn,fn,ln,no,ps,nt,db,ag,ht,go/at,cb,cn
574,Ospina,David,Ospina,13,1,COL,31.08.1988,27,183,0,Arsenal,ENG
575,Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,15,4,ENG,15.08.1993,22,180,3,Arsenal,ENG
576,??zil,Mesut,??zil,11,3,GER,15.10.1988,26,183,5,Arsenal,ENG
577,Ramsey,Aaron,Ramsey,16,3,WAL,26.12.1990,24,177,11,Arsenal,ENG
578,Reine-Ad??la??de,Jeff,Reine-Ad??la??de,54,3,FRA,17.01.1998,17,,0,Arsenal,ENG
579,Robinson,Tyrell,Robinson,55,3,ENG,16.09.1997,18,,0,Arsenal,ENG
580,Rosick??,Tom????,Rosick??,7,3,CZE,04.10.1980,34,178,12,Arsenal,ENG
581,Santi Cazorla,,Santi Cazorla,19,3,ESP,13.12.1984,30,168,0,Arsenal,ENG
582,Walcott,Theo,Walcott,14,4,ENG,16.03.1989,26,176,13,Arsenal,ENG
583,Welbeck,Danny,Welbeck,23,4,ENG,26.11.1990,24,185,7,Arsenal,ENG
584,Willock,Chris,Willock,59,4,ENG,31.01.1998,17,180,0,Arsenal,ENG
585,Wilshere,Jack,Wilshere,10,3,ENG,01.01.1992,23,172,4,Arsenal,ENG
586,Ander Herrera,,Ander Herrera,21,3,ESP,14.08.1989,26,182,1,Man. United,ENG
587,Blind,Daley,Blind,17,3,NED,09.03.1990,25,180,0,Man. United,ENG
588,Carrick,Michael,Carrick,16,3,ENG,28.07.1981,34,188,4,Man. United,ENG
589,Darmian,Matteo,Darmian,36,2,ITA,02.12.1989,25,182,0,Man. United,ENG
590,De Gea,David,de Gea,1,1,ESP,07.11.1990,24,192,0,Man. United,ENG
591,Depay,Memphis,Depay,7,4,NED,13.02.1994,21,176,4,Man. United,ENG
592,Fellaini,Marouane,Fellaini,27,3,BEL,22.11.1987,27,194,1,Man. United,ENG
593,Johnstone,Sam,Johnstone,50,1,ENG,25.03.1993,22,,0,Man. United,ENG
594,Jones,Phil,Jones,4,2,ENG,21.02.1992,23,180,2,Man. United,ENG
595,Juan Mata,,Juan Mata,8,3,ESP,28.04.1988,27,170,6,Man. United,ENG
596,Lingard,Jesse,Lingard,35,3,ENG,15.12.1992,22,,0,Man. United,ENG
597,Martial,Anthony,Martial,9,4,FRA,05.12.1995,19,181,1,Man. United,ENG
598,McNair,Paddy,McNair,33,2,NIR,27.04.1995,20,,0,Man. United,ENG
599,Pereira,Andreas,Pereira,44,3,BEL,01.01.1996,19,,0,Man. United,ENG
600,Powell,Nick,Powell,22,3,ENG,23.03.1994,21,183,0,Man. United,ENG
601,Rojo,Marcos,Rojo,5,2,ARG,20.03.1990,25,187,0,Man. United,ENG
602,Romero,Sergio,Romero,20,1,ARG,22.02.1987,28,192,0,Man. United,ENG
603,Rooney,Wayne,Rooney,10,4,ENG,24.10.1985,29,176,33,Man. United,ENG
604,Schneiderlin,Morgan,Schneiderlin,28,3,FRA,08.11.1989,25,,0,Man. United,ENG
605,Schweinsteiger,Bastian,Schweinsteiger,31,3,GER,01.08.1984,31,183,13,Man. United,ENG
606,Shaw,Luke,Shaw,23,2,ENG,12.07.1995,20,,0,Man. United,ENG
607,Smalling,Chris,Smalling,12,2,ENG,22.11.1989,25,194,1,Man. United,ENG
608,A. Valencia,Antonio,Valencia,25,3,ECU,04.08.1985,30,178,6,Man. United,ENG
609,Varela,Guillermo,Varela,30,2,URU,24.03.1993,22,173,0,Man. United,ENG
610,Wilson,James,Wilson,19,4,ENG,01.12.1995,19,,0,Man. United,ENG
611,Young,Ashley,Young,18,3,ENG,09.07.1985,30,177,1,Man. United,ENG
612,Alex Teixeira,,Alex Teixeira,29,3,BRA,06.01.1990,25,173,9,Shakhtar Donetsk,UKR
613,Azevedo,M??rcio,Azevedo,66,2,BRA,05.02.1986,29,173,0,Shakhtar Donetsk,UKR
614,Bernard,,Bernard,10,3,BRA,08.09.1992,23,164,0,Shakhtar Donetsk,UKR
615,Dentinho,,Dentinho,9,3,BRA,19.01.1989,26,177,0,Shakhtar Donetsk,UKR
616,Eduardo,,Eduardo,22,4,CRO,25.02.1983,32,178,12,Shakhtar Donetsk,UKR
617,Ferreyra,Facundo,Ferreyra,19,4,ARG,14.03.1991,24,187,0,Shakhtar Donetsk,UKR
618,Fred,,Fred,8,3,BRA,05.03.1993,22,169,0,Shakhtar Donetsk,UKR
619,Gladkiy,Olexandr,Gladkiy,21,4,UKR,24.08.1987,28,188,7,Shakhtar Donetsk,UKR
620,Gryn,Serhiy,Gryn,24,4,UKR,06.06.1994,21,,0,Shakhtar Donetsk,UKR
621,Ismaily,,Ismaily,31,2,BRA,11.01.1990,25,177,1,Shakhtar Donetsk,UKR
622,Kanibolotskiy,Anton,Kanibolotskiy,32,1,UKR,16.05.1988,27,191,0,Shakhtar Donetsk,UKR
623,Kobin,Vasyl,Kobin,14,3,UKR,24.05.1985,30,180,0,Shakhtar Donetsk,UKR
624,Kovalenko,Viktor,Kovalenko,74,3,UKR,14.02.1996,19,186,0,Shakhtar Donetsk,UKR
625,Kryvtsov,Serhiy,Kryvtsov,38,2,UKR,15.03.1991,24,186,0,Shakhtar Donetsk,UKR
626,Kucher,Olexandr,Kucher,5,2,UKR,22.10.1982,32,184,0,Shakhtar Donetsk,UKR
627,Malyshev,Maksym,Malyshev,17,3,UKR,24.12.1992,22,181,0,Shakhtar Donetsk,UKR
628,Marlos,,Marlos,11,3,BRA,07.06.1988,27,173,2,Shakhtar Donetsk,UKR
629,Matviyenko,Mykola,Matviyenko,25,2,UKR,02.05.1996,19,,0,Shakhtar Donetsk,UKR
630,Ordets,Ivan,Ordets,18,2,UKR,08.07.1992,23,194,0,Shakhtar Donetsk,UKR
631,Pyatov,Andriy,Pyatov,30,1,UKR,28.06.1984,31,190,0,Shakhtar Donetsk,UKR
632,Rakitskiy,Yaroslav,Rakitskiy,44,2,UKR,03.08.1989,26,180,1,Shakhtar Donetsk,UKR
633,Sarnavskiy,Bohdan,Sarnavskiy,23,1,UKR,29.01.1995,20,,0,Shakhtar Donetsk,UKR
634,Shevchuk,Vyacheslav,Shevchuk,13,2,UKR,13.05.1979,36,180,0,Shakhtar Donetsk,UKR
635,Srna,Darijo,Srna,33,2,CRO,01.05.1982,33,182,5,Shakhtar Donetsk,UKR
636,Stepanenko,Taras,Stepanenko,6,3,UKR,08.08.1989,26,181,2,Shakhtar Donetsk,UKR
637,Taison,,Taison,28,3,BRA,13.01.1988,27,172,1,Shakhtar Donetsk,UKR
638,Wellington Nem,,Wellington Nem,7,3,BRA,06.02.1992,23,165,0,Shakhtar Donetsk,UKR
639,Andreolli,Marco,Andreolli,17,2,ITA,10.06.1986,29,187,0,Sevilla,ESP
640,Banega,??ver,Banega,19,3,ARG,20.06.1988,27,174,1,Sevilla,ESP
641,Carlos Fern??ndez,,Carlos Fern??ndez,28,4,ESP,22.05.1996,19,186,0,Sevilla,ESP
642,Carmona,David,Carmona,26,2,ESP,11.01.1997,18,175,0,Sevilla,ESP
643,Coke,,Coke,23,2,ESP,26.04.1987,28,176,0,Sevilla,ESP
644,Cot??n,Antonio,Cot??n,27,3,ESP,19.05.1996,19,176,0,Sevilla,ESP
645,Crist??foro,Sebasti??n,Crist??foro,14,3,URU,23.08.1993,22,173,0,Sevilla,ESP
646,Daniel Carri??o,,Daniel Carri??o,6,3,POR,04.08.1988,27,182,0,Sevilla,ESP
647,Escudero,Sergio,Escudero,18,2,ESP,02.09.1989,26,176,0,Sevilla,ESP
648,Gameiro,Kevin,Gameiro,9,4,FRA,09.05.1987,28,172,1,Sevilla,ESP
649,Iborra,Vicente,Iborra,8,3,ESP,16.01.1988,27,190,0,Sevilla,ESP
650,Immobile,Ciro,Immobile,11,4,ITA,20.02.1990,25,181,4,Sevilla,ESP
651,Jos?? Matos,,Jos?? Matos,29,2,ESP,06.05.1995,20,169,0,Sevilla,ESP
652,Juan Mu??oz,,Juan Mu??oz,30,4,ESP,12.11.1995,19,182,0,Sevilla,ESP
653,Juan Soriano,,Juan Soriano,33,1,ESP,23.08.1997,18,182,0,Sevilla,ESP
654,Kakuta,Ga??l,Kakuta,12,3,FRA,21.06.1991,24,172,0,Sevilla,ESP
655,Kolodziejczak,Timoth??e,Kolodziejczak,5,2,FRA,01.10.1991,23,185,0,Sevilla,ESP
656,Konoplyanka,Yevhen,Konoplyanka,22,3,UKR,29.09.1989,25,176,1,Sevilla,ESP
657,Krohn-Dehli,Michael,Krohn-Dehli,7,3,DEN,06.06.1983,32,170,0,Sevilla,ESP
658,Krychowiak,Grzegorz,Krychowiak,4,3,POL,29.01.1990,25,186,0,Sevilla,ESP
659,Llorente,Fernando,Llorente,24,4,ESP,26.02.1985,30,195,3,Sevilla,ESP
660,Luismi,,Luismi,16,3,ESP,05.05.1992,23,180,0,Sevilla,ESP
661,Mariano Ferreira,,Mariano Ferreira,25,2,BRA,23.06.1986,29,177,0,Sevilla,ESP
662,N'Zonzi,Steven,N'Zonzi,15,3,FRA,15.12.1988,26,190,0,Sevilla,ESP
663,Rami,Adil,Rami,3,2,FRA,27.12.1985,29,190,2,Sevilla,ESP
664,Reyes,Jos?? Antonio,Reyes,10,3,ESP,01.09.1983,32,178,3,Sevilla,ESP
665,Rico,Sergio,Rico,1,1,ESP,01.09.1993,22,194,0,Sevilla,ESP
666,Rodriguez,??lvaro,Rodriguez,35,1,ESP,18.02.1998,17,,0,Sevilla,ESP
667,Soria,David,Soria,31,1,ESP,04.04.1993,22,192,0,Sevilla,ESP
668,Tr??moulinas,Beno??t,Tr??moulinas,2,2,FRA,28.12.1985,29,173,0,Sevilla,ESP
669,Vitolo,,Vitolo,20,3,ESP,02.11.1989,25,183,0,Sevilla,ESP
670,Antunes,,Antunes,5,2,POR,01.04.1987,28,175,0,Dynamo Kyiv,UKR
671,Belhanda,Younes,Belhanda,90,3,MAR,25.02.1990,25,174,2,Dynamo Kyiv,UKR
672,Boldenkov,Valery,Boldenkov,44,2,UKR,08.09.1994,21,191,0,Dynamo Kyiv,UKR
673,Burda,Mykyta,Burda,26,2,UKR,24.03.1995,20,187,0,Dynamo Kyiv,UKR
674,Bushchan,Georgiy,Bushchan,52,1,UKR,31.05.1994,21,201,0,Dynamo Kyiv,UKR
675,Buyalskiy,Vitaliy,Buyalskiy,29,3,UKR,06.01.1993,22,170,1,Dynamo Kyiv,UKR
676,Danilo Silva,,Danilo Silva,2,2,BRA,24.11.1986,28,185,0,Dynamo Kyiv,UKR
677,Dragovic,Aleksandar,Dragovic,6,2,AUT,06.03.1991,24,185,0,Dynamo Kyiv,UKR
678,Garmash,Denys,Garmash,19,3,UKR,19.04.1990,25,187,1,Dynamo Kyiv,UKR
679,Gonz??lez,Derlis,Gonz??lez,25,3,PAR,20.03.1994,21,172,3,Dynamo Kyiv,UKR
680,Gusev,Oleh,Gusev,20,3,UKR,25.04.1983,32,179,9,Dynamo Kyiv,UKR
681,J??nior Moraes,,J??nior Moraes,11,4,BRA,04.04.1987,28,176,0,Dynamo Kyiv,UKR
682,Khacheridi,Yevhen,Khacheridi,34,2,UKR,28.07.1987,28,197,0,Dynamo Kyiv,UKR
683,Kranj??ar,Niko,Kranj??ar,21,3,CRO,13.08.1984,31,185,2,Dynamo Kyiv,UKR
684,Kravets,Artem,Kravets,22,4,UKR,03.06.1989,26,185,0,Dynamo Kyiv,UKR
685,Lukyanchuk,Pavlo,Lukyanchuk,42,2,UKR,19.05.1996,19,,0,Dynamo Kyiv,UKR
686,Makarenko,Yevhen,Makarenko,27,2,UKR,21.05.1991,24,182,0,Dynamo Kyiv,UKR
687,Miguel Veloso,,Miguel Veloso,4,3,POR,11.05.1986,29,180,3,Dynamo Kyiv,UKR
688,Morozyuk,Mykola,Morozyuk,9,2,UKR,17.01.1988,27,176,0,Dynamo Kyiv,UKR
689,Myakushko,Serhiy,Myakushko,88,3,UKR,15.04.1993,22,167,0,Dynamo Kyiv,UKR
690,Nesterenko,Andrii,Nesterenko,45,2,UKR,14.05.1996,19,,0,Dynamo Kyiv,UKR
691,Orikhovskiy,Pavlo,Orikhovskiy,48,3,UKR,13.05.1996,19,,0,Dynamo Kyiv,UKR
692,Petrovi??,Radosav,Petrovi??,8,3,SRB,08.03.1989,26,193,1,Dynamo Kyiv,UKR
693,Rybalka,Serhiy,Rybalka,17,3,UKR,01.04.1990,25,176,0,Dynamo Kyiv,UKR
694,Rybka,Olexandr,Rybka,23,1,UKR,10.04.1987,28,193,0,Dynamo Kyiv,UKR
695,Shovkovskiy,Olexandr,Shovkovskiy,1,1,UKR,02.01.1975,40,191,0,Dynamo Kyiv,UKR
696,Sydorchuk,Serhiy,Sydorchuk,16,3,UKR,02.05.1991,24,188,0,Dynamo Kyiv,UKR
697,Teodorczyk,??ukasz,Teodorczyk,91,4,POL,03.06.1991,24,185,0,Dynamo Kyiv,UKR
698,Vida,Domagoj,Vida,24,2,CRO,29.04.1989,26,184,2,Dynamo Kyiv,UKR
699,Yaremchuk,Roman,Yaremchuk,41,4,UKR,27.11.1995,19,,0,Dynamo Kyiv,UKR
700,Yarmolenko,Andriy,Yarmolenko,10,4,UKR,23.10.1989,25,187,3,Dynamo Kyiv,UKR
701,Augustin,Jean-K??vin,Augustin,29,4,FRA,16.06.1997,18,177,0,Paris,FRA
702,Aurier,Serge,Aurier,19,2,CIV,24.12.1992,22,176,0,Paris,FRA
703,Cavani,Edinson,Cavani,9,4,URU,14.02.1987,28,184,16,Paris,FRA
704,David Luiz,,David Luiz,32,2,BRA,22.04.1987,28,188,5,Paris,FRA
705,Descamps,R??my,Descamps,40,1,FRA,25.06.1996,19,,0,Paris,FRA
706,Di Mar??a,??ngel,Di Mar??a,11,3,ARG,14.02.1988,27,180,9,Paris,FRA
707,Douchez,Nicolas,Douchez,1,1,FRA,22.04.1980,35,186,0,Paris,FRA
708,Ibrahimovi??,Zlatan,Ibrahimovi??,10,4,SWE,03.10.1981,33,194,44,Paris,FRA
709,Kimpembe,Presnel,Kimpembe,3,2,FRA,13.08.1995,20,183,0,Paris,FRA
710,Kurzawa,Layvin,Kurzawa,20,2,FRA,04.09.1992,23,182,2,Paris,FRA
711,Lavezzi,Ezequiel,Lavezzi,22,4,ARG,03.05.1985,30,173,9,Paris,FRA
712,Lucas,,Lucas,7,3,BRA,13.08.1992,23,172,0,Paris,FRA
713,Marquinhos,,Marquinhos,5,2,BRA,14.05.1994,21,183,3,Paris,FRA
714,Matuidi,Blaise,Matuidi,14,3,FRA,09.04.1987,28,175,4,Paris,FRA
715,Maxwell,,Maxwell,17,2,BRA,27.08.1981,34,177,0,Paris,FRA
716,Nkunku,Christopher,Nkunku,33,3,FRA,14.11.1997,17,,0,Paris,FRA
717,Ongenda,Hervin,Ongenda,35,4,FRA,24.06.1995,20,169,0,Paris,FRA
718,Pastore,Javier,Pastore,27,3,ARG,20.06.1989,26,187,4,Paris,FRA
719,Rabiot,Adrien,Rabiot,25,3,FRA,03.04.1995,20,188,0,Paris,FRA
720,Sirigu,Salvatore,Sirigu,30,1,ITA,12.01.1987,28,192,0,Paris,FRA
721,Stambouli,Benjamin,Stambouli,4,3,FRA,13.08.1990,25,180,0,Paris,FRA
722,Thiago Motta,,Thiago Motta,8,3,ITA,28.08.1982,33,183,5,Paris,FRA
723,Thiago Silva,,Thiago Silva,2,2,BRA,22.09.1984,30,183,4,Paris,FRA
724,Trapp,Kevin,Trapp,16,1,GER,08.07.1990,25,189,0,Paris,FRA
725,Van der Wiel,Gregory,van der Wiel,23,2,NED,03.02.1988,27,172,1,Paris,FRA
726,Verratti,Marco,Verratti,6,3,ITA,05.11.1992,22,165,1,Paris,FRA
727,Brouwers,Roel,Brouwers,4,2,NED,28.11.1981,33,190,0,M??nchengladbach,GER
728,Christensen,Andreas,Christensen,3,2,DEN,10.04.1996,19,188,0,M??nchengladbach,GER
729,Dahoud,Mahmoud,Dahoud,8,3,GER,01.01.1996,19,176,0,M??nchengladbach,GER
730,??lvaro Dom??nguez,??lvaro,Dom??nguez,15,2,ESP,16.05.1989,26,189,0,M??nchengladbach,GER
731,Drmic,Josip,Drmic,9,4,SUI,08.08.1992,23,181,0,M??nchengladbach,GER
732,Elvedi,Nico,Elvedi,30,2,SUI,30.09.1996,18,188,0,M??nchengladbach,GER
733,Hahn,Andr??,Hahn,28,3,GER,13.08.1990,25,185,0,M??nchengladbach,GER
734,Hazard,Thorgan,Hazard,10,3,BEL,29.03.1993,22,174,0,M??nchengladbach,GER
735,Heimeroth,Christofer,Heimeroth,33,1,GER,01.08.1981,34,194,0,M??nchengladbach,GER
736,Herrmann,Patrick,Herrmann,7,4,GER,12.02.1991,24,179,0,M??nchengladbach,GER
737,Hrgota,Branimir,Hrgota,31,4,SWE,12.01.1993,22,182,0,M??nchengladbach,GER
738,Jantschke,Tony,Jantschke,24,2,GER,07.04.1990,25,177,0,M??nchengladbach,GER
739,Johnson,Fabian,Johnson,19,2,GER,11.12.1987,27,183,0,M??nchengladbach,GER
740,Kompalla,Martin,Kompalla,41,1,GER,26.08.1992,23,186,0,M??nchengladbach,GER
741,Korb,Julian,Korb,27,2,GER,21.03.1992,23,177,0,M??nchengladbach,GER
742,Ndenge,Tsiy-William,Ndenge,44,3,GER,13.06.1997,18,,0,M??nchengladbach,GER
743,Nordtveit,H??vard,Nordtveit,6,3,NOR,21.06.1990,25,186,0,M??nchengladbach,GER
744,Raffael,,Raffael,11,4,BRA,28.03.1985,30,174,0,M??nchengladbach,GER
745,Ritter,Marlon,Ritter,36,3,GER,15.10.1994,20,170,0,M??nchengladbach,GER
746,M. Schulz,Marvin,Schulz,18,2,GER,15.01.1995,20,186,0,M??nchengladbach,GER
747,N. Schulz,Nico,Schulz,14,3,GER,01.04.1993,22,,0,M??nchengladbach,GER
748,Sippel,Tobias,Sippel,21,1,GER,22.03.1988,27,180,0,M??nchengladbach,GER
749,Sommer,Yann,Sommer,1,1,SUI,17.12.1988,26,183,0,M??nchengladbach,GER
750,Stindl,Lars,Stindl,13,3,GER,26.08.1988,27,180,0,M??nchengladbach,GER
751,Stranzl,Martin,Stranzl,39,2,AUT,16.06.1980,35,190,0,M??nchengladbach,GER
752,Traor??,Ibrahima,Traor??,16,3,GNB,21.04.1988,27,172,0,M??nchengladbach,GER
753,Wendt,Oscar,Wendt,17,2,SWE,24.10.1985,29,181,0,M??nchengladbach,GER
754,Xhaka,Granit,Xhaka,34,3,SUI,27.09.1992,22,186,1,M??nchengladbach,GER
755,Anyukov,Aleksandr,Anyukov,2,2,RUS,28.09.1982,32,178,0,Zenit,RUS
756,Bogaev,Dmitri,Bogaev,70,4,RUS,24.01.1994,21,175,0,Zenit,RUS
757,Criscito,Domenico,Criscito,4,2,ITA,30.12.1986,28,183,0,Zenit,RUS
758,Danny,,Danny,10,3,POR,07.08.1983,32,178,11,Zenit,RUS
759,Dolgov,Pavel,Dolgov,92,4,RUS,16.08.1996,19,187,0,Zenit,RUS
760,Dzyuba,Artem,Dzyuba,22,4,RUS,22.08.1988,27,194,1,Zenit,RUS
761,Evseev,Aleksei,Evseev,94,3,RUS,30.03.1994,21,183,0,Zenit,RUS
762,Fayzulin,Viktor,Fayzulin,20,3,RUS,22.04.1986,29,176,2,Zenit,RUS
763,Garay,Ezequiel,Garay,24,2,ARG,10.10.1986,28,192,1,Zenit,RUS
764,Hulk,,Hulk,7,4,BRA,25.07.1986,29,180,18,Zenit,RUS
765,Ivanidi,Ivan,Ivanidi,53,2,RUS,14.06.1996,19,,0,Zenit,RUS
766,Ivanov,Andrei,Ivanov,52,2,RUS,02.09.1994,21,179,0,Zenit,RUS
767,Javi Garc??a,,Javi Garc??a,21,3,ESP,08.02.1987,28,187,2,Zenit,RUS
768,Karpov,Maksim,Karpov,50,2,RUS,17.03.1995,20,176,0,Zenit,RUS
769,Kerzhakov,Mikhail,Kerzhakov,41,1,RUS,28.01.1987,28,189,0,Zenit,RUS
770,Kireenko,Pavel,Kireenko,76,4,RUS,14.06.1994,21,,0,Zenit,RUS
771,Kubyshkin,Ilya,Kubyshkin,96,2,RUS,12.01.1996,19,180,0,Zenit,RUS
772,Lodygin,Yuri,Lodygin,1,1,RUS,26.05.1990,25,187,0,Zenit,RUS
773,Lombaerts,Nicolas,Lombaerts,6,2,BEL,20.03.1985,30,188,1,Zenit,RUS
774,Lu??s Neto,,Lu??s Neto,13,2,POR,26.05.1988,27,187,0,Zenit,RUS
775,Malafeev,Vyacheslav,Malafeev,16,1,RUS,04.03.1979,36,185,0,Zenit,RUS
776,Markov,Evgeni,Markov,89,4,RUS,07.07.1994,21,,0,Zenit,RUS
777,Mzhelski,Mikhail,Mzhelski,80,1,RUS,29.03.1995,20,200,0,Zenit,RUS
778,Nazimov,Pavel,Nazimov,43,4,RUS,04.02.1996,19,177,0,Zenit,RUS
779,Obukhov,Igor,Obukhov,83,1,RUS,29.05.1996,19,190,0,Zenit,RUS
780,Osipov,Pavel,Osipov,73,3,RUS,28.01.1996,19,176,0,Zenit,RUS
781,Rebenko,Stepan,Rebenko,62,2,RUS,01.05.1995,20,184,0,Zenit,RUS
782,Rudakov,Maksim,Rudakov,51,1,RUS,22.01.1996,19,182,0,Zenit,RUS
783,Ryazantsev,Aleksandr,Ryazantsev,5,3,RUS,05.09.1986,29,176,1,Zenit,RUS
784,Shatov,Oleg,Shatov,17,3,RUS,29.07.1990,25,173,2,Zenit,RUS
785,Smolnikov,Igor,Smolnikov,19,2,RUS,08.08.1988,27,178,0,Zenit,RUS
786,Troyanov,Konstantin,Troyanov,79,3,RUS,18.11.1995,19,,0,Zenit,RUS
787,Vasyutin,Aleksandr,Vasyutin,95,1,RUS,04.03.1995,20,190,0,Zenit,RUS
788,Witsel,Axel,Witsel,28,3,BEL,12.01.1989,26,183,4,Zenit,RUS
789,Yaschuk,Danila,Yaschuk,65,3,RUS,13.03.1995,20,181,0,Zenit,RUS
790,Yusupov,Artur,Yusupov,14,3,RUS,01.09.1989,26,179,0,Zenit,RUS
791,Zuev,Ilya,Zuev,58,2,RUS,25.01.1994,21,183,0,Zenit,RUS
792,Aina,Ola,Aina,34,2,ENG,08.10.1996,18,,0,Chelsea,ENG
793,Azpilicueta,C??sar,Azpilicueta,28,2,ESP,28.08.1989,26,178,0,Chelsea,ENG
794,Baba,Abdul Rahman,Baba,6,2,GHA,02.07.1994,21,,0,Chelsea,ENG
795,Begovi??,Asmir,Begovi??,1,1,BIH,20.06.1987,28,196,0,Chelsea,ENG
796,Blackman,Jamal,Blackman,27,1,ENG,27.10.1993,21,196,0,Chelsea,ENG
797,Cahill,Gary,Cahill,24,2,ENG,19.12.1985,29,188,3,Chelsea,ENG
798,Collins,Bradley,Collins,40,1,ENG,18.02.1997,18,,0,Chelsea,ENG
799,Courtois,Thibaut,Courtois,13,1,BEL,11.05.1992,23,199,0,Chelsea,ENG
800,Diego Costa,,Diego Costa,19,4,ESP,07.10.1988,26,188,9,Chelsea,ENG
801,F??bregas,Cesc,F??bregas,4,3,ESP,04.05.1987,28,175,23,Chelsea,ENG
802,Falcao,Radamel,Falcao,9,4,COL,10.02.1986,29,177,4,Chelsea,ENG
803,Hazard,Eden,Hazard,10,3,BEL,07.01.1991,24,170,5,Chelsea,ENG
804,Ivanovi??,Branislav,Ivanovi??,2,2,SRB,22.02.1984,31,188,7,Chelsea,ENG
805,Kenedy,,Kenedy,16,3,BRA,08.02.1996,19,,0,Chelsea,ENG
806,Loftus-Cheek,Ruben,Loftus-Cheek,36,3,ENG,23.01.1996,19,192,0,Chelsea,ENG
807,Mati??,Nemanja,Mati??,21,3,SRB,01.08.1988,27,193,3,Chelsea,ENG
808,Mikel,John Obi,Mikel,12,3,NGA,22.04.1987,28,188,1,Chelsea,ENG
809,Oscar,,Oscar,8,3,BRA,09.09.1991,24,180,7,Chelsea,ENG
810,Pedro Rodr??guez,,Pedro Rodr??guez,17,4,ESP,28.07.1987,28,167,15,Chelsea,ENG
811,Ramires,,Ramires,7,3,BRA,24.03.1987,28,180,7,Chelsea,ENG
812,R??my,Lo??c,R??my,18,4,FRA,02.01.1987,28,184,5,Chelsea,ENG
813,Terry,John,Terry,26,2,ENG,07.12.1980,34,187,10,Chelsea,ENG
814,Traor??,Bertrand,Traor??,14,3,BFA,06.09.1995,20,177,0,Chelsea,ENG
815,Willian,,Willian,22,3,BRA,09.08.1988,27,173,11,Chelsea,ENG
816,Zouma,Kurt,Zouma,5,2,FRA,27.10.1994,20,190,0,Chelsea,ENG
817,Adarabioyo,Tosin,Adarabioyo,53,2,ENG,24.09.1997,17,,0,Man. City,ENG
818,Ag??ero,Sergio,Ag??ero,10,4,ARG,02.06.1988,27,172,23,Man. City,ENG
819,Ambrose,Thierry,Ambrose,68,4,FRA,28.03.1997,18,,0,Man. City,ENG
820,Barker,Brandon,Barker,62,4,ENG,04.10.1996,18,,0,Man. City,ENG
821,Boadu,Denzil,Boadu,49,3,ENG,20.02.1997,18,,0,Man. City,ENG
822,Bony,Wilfried,Bony,14,4,CIV,10.12.1988,26,182,2,Man. City,ENG
823,Bryan,Kean,Bryan,52,3,ENG,01.11.1996,18,182,0,Man. City,ENG
824,Bytyqi,Sinan,Bytyqi,63,3,AUT,15.01.1995,20,185,0,Man. City,ENG
825,Caballero,Willy,Caballero,13,1,ARG,28.09.1981,33,186,0,Man. City,ENG
826,Clichy,Ga??l,Clichy,22,2,FRA,26.07.1985,30,176,0,Man. City,ENG
827,De Bruyne,Kevin,De Bruyne,17,4,BEL,28.06.1991,24,180,0,Man. City,ENG
828,Delph,Fabian,Delph,18,3,ENG,21.11.1989,25,174,0,Man. City,ENG
829,Demichelis,Mart??n,Demichelis,26,2,ARG,20.12.1980,34,184,3,Man. City,ENG
830,Evans,George,Evans,70,3,ENG,13.12.1994,20,184,0,Man. City,ENG
831,Fernandinho,,Fernandinho,25,3,BRA,04.05.1985,30,176,6,Man. City,ENG
832,Fernando,,Fernando,6,3,BRA,25.07.1987,28,185,0,Man. City,ENG
833,Glendon,George,Glendon,73,3,WAL,03.05.1995,20,177,0,Man. City,ENG
834,Gunn,Angus,Gunn,54,1,ENG,22.01.1996,19,196,0,Man. City,ENG
835,Hart,Joe,Hart,1,1,ENG,19.04.1987,28,196,0,Man. City,ENG
836,Jes??s Navas,,Jes??s Navas,15,3,ESP,21.11.1985,29,170,3,Man. City,ENG
837,Jorge Intima,,Jorge Intima,65,3,POR,21.09.1995,19,,0,Man. City,ENG
838,Kolarov,Aleksandar,Kolarov,11,2,SRB,10.11.1985,29,187,3,Man. City,ENG
839,Kompany,Vincent,Kompany,4,2,BEL,10.04.1986,29,190,2,Man. City,ENG
840,Lawlor,Ian,Lawlor,45,1,IRL,27.10.1994,20,193,0,Man. City,ENG
841,Maffeo,Pablo,Maffeo,50,2,ESP,12.07.1997,18,,0,Man. City,ENG
842,Mangala,Eliaquim,Mangala,20,2,FRA,13.02.1991,24,187,1,Man. City,ENG
843,Nasri,Samir,Nasri,8,3,FRA,26.06.1987,28,175,9,Man. City,ENG
844,Nemane,Aaron,Nemane,57,4,ENG,26.06.1997,18,,0,Man. City,ENG
845,Otamendi,Nicol??s,Otamendi,30,2,ARG,12.02.1988,27,183,0,Man. City,ENG
846,Plummer,Ellis,Plummer,74,2,ENG,02.09.1994,21,,0,Man. City,ENG
847,Sagna,Bacary,Sagna,3,2,FRA,14.02.1983,32,176,0,Man. City,ENG
848,Silva,David,Silva,21,3,ESP,08.01.1986,29,170,6,Man. City,ENG
849,Smith-Brown,Ashley,Smith-Brown,56,2,ENG,31.03.1996,19,,0,Man. City,ENG
850,Sterling,Raheem,Sterling,7,3,ENG,08.12.1994,20,170,0,Man. City,ENG
851,Tattum,Samuel,Tattum,67,3,ENG,03.09.1996,19,,0,Man. City,ENG
