rowNumber,Team,Number,Position,FullName,Club,ClubCountry,DateOfBirth,IsCaptain
607,Korea DPR,10,FW,Hong Yong-Jo,FC Rostov,RUS,5/22/1982,TRUE
608,Korea DPR,11,MF,Mun In-Guk,April 25 Sports Club,PRK,9/29/1978,FALSE
609,Korea DPR,12,FW,Choe Kum-Chol,April 25 Sports Club,PRK,2/9/1987,FALSE
610,Korea DPR,13,DF,Pak Chol-Jin,Amrokgang Sports Club,PRK,9/5/1985,FALSE
611,Korea DPR,14,DF,Pak Nam-Chol (footballer born 1988),Amrokgang Sports Club,PRK,10/3/1988,FALSE
612,Korea DPR,15,MF,Kim Yong-Jun,Pyongyang City Sports Club,PRK,7/19/1983,FALSE
613,Korea DPR,16,DF,Nam Song-Chol,April 25 Sports Club,PRK,5/7/1982,FALSE
614,Korea DPR,17,MF,An Yong-Hak,Omiya Ardi,JPN,10/25/1978,FALSE
615,Korea DPR,18,GK,Kim Myong-Gil,Amrokgang Sports Club,PRK,10/16/1984,FALSE
616,Korea DPR,19,MF,Ri Chol-Myong,Pyongyang City Sports Club,PRK,2/18/1988,FALSE
617,Korea DPR,20,GK,"Kim Myong-Won<ref>Kim Myong-Won, a Striker (association football)",Amrokgang Sports Club,PRK,7/15/1983,FALSE
618,Korea DPR,21,DF,Ri Kwang-Hyok,Kyonggongop Sports Club,PRK,8/17/1987,FALSE
619,Korea DPR,22,MF,Kim Kyong-Il,Rimyongsu Sports Club,PRK,12/11/1988,FALSE
620,Korea DPR,23,MF,Pak Sung-Hyok,Sobaeksu Sports Club,PRK,5/30/1990,FALSE
621,CÃ´te d'Ivoire,1,GK,Boubacar Barry,K.S.C. Lokeren Oost-Vlaanderen,BEL,12/30/1979,FALSE
622,CÃ´te d'Ivoire,2,DF,Benjamin Angoua,Valenciennes FC,FRA,11/28/1986,FALSE
623,CÃ´te d'Ivoire,3,DF,Arthur Boka,VfB Stuttga,GER,4/2/1983,FALSE
624,CÃ´te d'Ivoire,4,DF,,Manchester City F.C.,ENG,3/19/1981,FALSE
625,CÃ´te d'Ivoire,5,MF,Didier Zokora,Sevilla FC,ESP,12/14/1980,FALSE
626,CÃ´te d'Ivoire,6,DF,Steve Gohouri,Wigan Athletic F.C.,ENG,2/8/1981,FALSE
627,CÃ´te d'Ivoire,7,FW,Seydou Doumbia,BSC Young Boys,SUI,12/31/1987,FALSE
628,CÃ´te d'Ivoire,8,FW,Salomon Kalou,Chelsea F.C.,ENG,8/5/1985,FALSE
629,CÃ´te d'Ivoire,9,MF,,FC Twente,NED,6/21/1986,FALSE
630,CÃ´te d'Ivoire,10,FW,Gervais Yao Kouassi,Lille OSC,FRA,5/27/1987,FALSE
631,CÃ´te d'Ivoire,11,FW,Didier Drogba,Chelsea F.C.,ENG,3/11/1978,TRUE
632,CÃ´te d'Ivoire,12,MF,Jean-Jacques Gosso,AS Monaco FC,FRA,3/15/1983,FALSE
633,CÃ´te d'Ivoire,13,MF,Romaric (footballer),Sevilla FC,ESP,6/4/1983,FALSE
634,CÃ´te d'Ivoire,14,MF,,FC InternaÅ£ional Curtea de ArgeÅŸ,ROU,12/31/1986,FALSE
635,CÃ´te d'Ivoire,15,FW,Aruna Dindane,Portsmouth F.C.,ENG,11/26/1980,FALSE
636,CÃ´te d'Ivoire,16,GK,,Maccabi Netanya F.C.,ISR,12/30/1981,FALSE
637,CÃ´te d'Ivoire,17,DF,,Valenciennes FC,FRA,3/22/1982,FALSE
638,CÃ´te d'Ivoire,18,MF,,Galatasaray S.K. (football team),TUR,8/6/1981,FALSE
639,CÃ´te d'Ivoire,19,MF,,FC Barcelona,ESP,5/13/1983,FALSE
640,CÃ´te d'Ivoire,20,DF,Guy Demel,"Hamburger ",GER,6/13/1981,FALSE
641,CÃ´te d'Ivoire,21,DF,,Arsenal F.C.,ENG,6/4/1983,FALSE
642,CÃ´te d'Ivoire,22,DF,Sol Bamba,Hibernian F.C.,SCO,1/13/1985,FALSE
643,CÃ´te d'Ivoire,23,GK,Daniel Yeboah,ASEC Mimos,CIV,11/13/1984,FALSE
644,Portugal,1,GK,Eduardo dos Reis Carvalho,S.C. Braga,POR,9/19/1982,FALSE
645,Portugal,2,DF,Bruno Alves,F.C. Porto,POR,11/27/1981,FALSE
646,Portugal,3,DF,Paulo Ferreira,Chelsea F.C.,ENG,1/18/1979,FALSE
647,Portugal,4,DF,Rolando (Portuguese footballer),F.C. Porto,POR,8/31/1985,FALSE
648,Portugal,5,DF,Duda (Portuguese footballer),MÃ¡laga CF,ESP,6/27/1980,FALSE
649,Portugal,6,DF,Ricardo Carvalho,Chelsea F.C.,ENG,5/18/1978,FALSE
650,Portugal,7,FW,Cristiano Ronaldo,Real Madrid C.F.,ESP,2/5/1985,TRUE
651,Portugal,8,MF,Pedro Miguel da Silva Mendes,Sporting Clube de Portugal,POR,2/26/1979,FALSE
652,Portugal,9,FW,,Sporting Clube de Portugal,POR,12/17/1977,FALSE
653,Portugal,10,MF,Danny (footballer),FC Zenit Saint Petersburg,RUS,8/7/1983,FALSE
654,Portugal,11,MF,,AtlÃ©tico Madr,ESP,10/31/1979,FALSE
655,Portugal,12,GK,Beto (Portuguese footballer born 1982),F.C. Porto,POR,5/1/1982,FALSE
656,Portugal,13,DF,Miguel Monteiro,Valencia CF,ESP,1/4/1980,FALSE
657,Portugal,14,MF,Miguel Veloso,Sporting Clube de Portugal,POR,5/11/1986,FALSE
658,Portugal,15,DF,Pepe (footballer born 1983),Real Madrid C.F.,ESP,2/26/1983,FALSE
659,Portugal,16,MF,Raul Meireles,F.C. Porto,POR,3/17/1983,FALSE
660,Portugal,17,MF,,S.L. Benfica,POR,1/27/1985,FALSE
661,Portugal,18,FW,Hugo Almeida,SV Werder Bremen,GER,5/23/1984,FALSE
662,Portugal,19,MF,Tiago Mendes,AtlÃ©tico Madr,ESP,5/2/1981,FALSE
663,Portugal,20,MF,Deco,Chelsea F.C.,ENG,8/27/1977,FALSE
664,Portugal,21,DF,Ricardo Costa (Portuguese footballer),OSC Lille,FRA,5/16/1981,FALSE
665,Portugal,22,GK,Daniel Fernandes (footballer),Iraklis Thessaloniki F.C.,GRE,9/25/1983,FALSE
666,Portugal,23,DF,,S.L. Benfica,POR,3/11/1988,FALSE
667,Spain,1,GK,Iker Casillas,Real Madrid C.F.,ESP,5/20/1981,TRUE
668,Spain,2,DF,RaÃºl Albiol,Real Madrid C.F.,ESP,9/4/1985,FALSE
669,Spain,3,DF,,FC Barcelona,ESP,2/2/1987,FALSE
670,Spain,4,DF,Carlos Marchena,Valencia CF,ESP,7/31/1979,FALSE
671,Spain,5,DF,Carles Puyol,FC Barcelona,ESP,4/13/1978,FALSE
672,Spain,6,MF,,FC Barcelona,ESP,5/11/1984,FALSE
673,Spain,7,FW,David Villa,Valencia CF,ESP,12/3/1981,FALSE
674,Spain,8,MF,Xavi,FC Barcelona,ESP,1/25/1980,FALSE
675,Spain,9,FW,Fernando Torres,Liverpool F.C.,ENG,3/20/1984,FALSE
676,Spain,10,MF,,Arsenal F.C.,ENG,5/4/1987,FALSE
677,Spain,11,DF,Joan Capdevila,Villarreal CF,ESP,2/3/1978,FALSE
678,Spain,12,GK,,FC Barcelona,ESP,1/14/1982,FALSE
679,Spain,13,MF,Juan Manuel Mata,Valencia CF,ESP,4/28/1988,FALSE
680,Spain,14,MF,Xabi Alonso,Real Madrid C.F.,ESP,11/25/1981,FALSE
681,Spain,15,DF,Sergio Ramos,Real Madrid C.F.,ESP,3/30/1986,FALSE
682,Spain,16,MF,Sergio Busquets,FC Barcelona,ESP,7/16/1988,FALSE
683,Spain,17,DF,Ãlvaro Arbeloa,Real Madrid C.F.,ESP,1/17/1983,FALSE
684,Spain,18,FW,,FC Barcelona,ESP,7/28/1987,FALSE
685,Spain,19,FW,Fernando Llorente,Athletic Bilb,ESP,2/26/1985,FALSE
686,Spain,20,MF,,Athletic Bilb,ESP,9/2/1988,FALSE
687,Spain,21,MF,David Silva,Valencia CF,ESP,1/8/1986,FALSE
688,Spain,22,MF,JesÃºs Navas,Sevilla FC,ESP,11/21/1985,FALSE
689,Spain,23,GK,,Liverpool F.C.,ENG,8/31/1982,FALSE
690,Switzerland,1,GK,Diego Benaglio,VfL Wolfsbu,GER,9/8/1983,FALSE
691,Switzerland,2,DF,Stephan Lichtsteiner,S.S. Lazio,ITA,1/16/1984,FALSE
692,Switzerland,3,DF,Ludovic Magnin,FC ZÃ¼rich,SUI,4/20/1979,FALSE
693,Switzerland,4,DF,Philippe Senderos,Everton F.C.,ENG,2/14/1985,FALSE
694,Switzerland,5,DF,Steve von Bergen,Hertha B,GER,6/10/1983,FALSE
695,Switzerland,6,MF,Benjamin Huggel,FC Basel,SUI,7/7/1977,FALSE
696,Switzerland,7,MF,Tranquillo Barnetta,Bayer 04 Leverkusen,GER,5/22/1985,FALSE
697,Switzerland,8,MF,,Udinese Calcio,ITA,6/27/1984,FALSE
698,Switzerland,9,FW,Alexander Frei,FC Basel,SUI,7/15/1979,TRUE
699,Switzerland,10,FW,Blaise Nkufo,FC Twente,NED,5/25/1975,FALSE
700,Switzerland,11,MF,Valon Behrami,West Ham United F.C.,ENG,4/19/1985,FALSE
701,Switzerland,12,GK,,BSC Young Boys,SUI,8/22/1982,FALSE
702,Switzerland,13,DF,,AJ Auxerre,FRA,3/30/1979,FALSE
703,Switzerland,14,MF,Marco Padalino,U.C. Sampdoria,ITA,12/8/1983,FALSE
704,Switzerland,15,MF,Hakan Yakin,FC Luzern,SUI,2/22/1977,FALSE
705,Switzerland,16,MF,Gelson Fernandes,AS Saint-Ã‰tienne,FRA,9/2/1986,FALSE
706,Switzerland,17,DF,Reto Ziegler,U.C. Sampdoria,ITA,1/16/1986,FALSE
707,Switzerland,18,FW,Albert Bunjaku (footballer),1. FC NÃ¼rnbe,GER,11/29/1983,FALSE
708,Switzerland,19,FW,Eren Derdiyok,Bayer 04 Leverkusen,GER,6/12/1988,FALSE
709,Switzerland,20,MF,Pirmin Schwegler,Eintracht Frankfu,GER,3/9/1987,FALSE
710,Switzerland,21,GK,Johnny Leoni,FC ZÃ¼rich,SUI,6/30/1984,FALSE
711,Switzerland,22,DF,Mario Eggimann,"Hannover ",GER,1/24/1981,FALSE
712,Switzerland,23,MF,Xherdan Shaqiri,FC Basel,SUI,10/10/1991,FALSE
713,Honduras,1,GK,Ricardo Canales,C.D. Motagua,HON,5/30/1982,FALSE
714,Honduras,2,DF,,C.D. Platense,HON,7/29/1984,FALSE
715,Honduras,3,DF,Maynor Figueroa,Wigan Athletic F.C.,ENG,5/2/1983,FALSE
716,Honduras,4,DF,Johnny Palacios,C.D. Olimpia,HON,12/20/1986,FALSE
717,Honduras,5,DF,,R.S.C. Anderlecht,BEL,5/24/1982,FALSE
718,Honduras,6,MF,Hendry Thomas,Wigan Athletic F.C.,ENG,2/23/1985,FALSE
719,Honduras,7,MF,,C.D. Olimpia,HON,11/14/1984,FALSE
720,Honduras,8,MF,Wilson Palacios,Tottenham Hotspur F.C.,ENG,7/29/1984,FALSE
721,Honduras,9,FW,,Real C.D. EspaÃ±a,HON,10/19/1973,FALSE
722,Honduras,10,FW,,Hangzhou Nabel Greentown F.C.,CHN,5/13/1982,FALSE
723,Honduras,11,FW,David Suazo,Genoa C.F.C.,ITA,11/5/1979,FALSE
724,Honduras,12,FW,Georgie Welcome,C.D. Motagua,HON,3/9/1985,FALSE
725,Honduras,13,FW,Roger Espinoza,Kansas City Wizar,USA,10/25/1986,FALSE
726,Honduras,14,DF,,C.D. Olimpia,HON,9/4/1984,FALSE
727,Honduras,15,FW,,C.D. MarathÃ³n,HON,3/29/1982,FALSE
728,Honduras,16,DF,,Hangzhou Nabel Greentown F.C.,CHN,11/11/1978,FALSE
729,Honduras,17,MF,Edgar Ãlvarez,A.S. Bari,Italy,1/9/1980,FALSE
730,Honduras,18,GK,Noel Valladares,C.D. Olimpia,HON,5/3/1977,FALSE
731,Honduras,19,MF,Danilo Turcios,C.D. Olimpia,HON,5/8/1978,FALSE
732,Honduras,20,MF,Amado Guevara,C.D. Motagua,HON,5/2/1976,TRUE
733,Honduras,21,DF,Emilio Izaguirre,C.D. Motagua,HON,5/10/1986,FALSE
734,Honduras,22,GK,Donis Escober,C.D. Olimpia,HON,2/3/1980,FALSE
735,Honduras,23,DF,Sergio Mendoza,C.D. Motagua,HON,5/23/1981,FALSE
736,Chile,1,GK,Claudio Bravo (footballer),Real Socied,ESP,4/13/1983,TRUE
737,Chile,2,DF,Ismael Fuentes,Club Deportivo Universidad CatÃ³lica,CHI,8/4/1981,FALSE
738,Chile,3,DF,Waldo Ponce,Club Deportivo Universidad CatÃ³lica,CHI,12/4/1982,FALSE
739,Chile,4,MF,Mauricio Isla,Udinese Calcio,ITA,6/12/1988,FALSE
740,Chile,5,DF,Pablo Contreras,PAOK F.C.,GRE,9/11/1978,FALSE
741,Chile,6,MF,Carlos Carmona,Reggina Calcio,ITA,2/21/1987,FALSE
742,Chile,7,FW,,Udinese Calcio,ITA,12/19/1988,FALSE
743,Chile,8,DF,Arturo Vidal,Bayer 04 Leverkusen,GER,5/22/1987,FALSE
744,Chile,9,FW,Humberto Suazo,Real Zarago,ESP,5/10/1981,FALSE
745,Chile,10,MF,Jorge Valdivia,Al Ain FC,UAE,10/19/1983,FALSE
746,Chile,11,FW,,PFC CSKA Moscow,RUS,7/10/1984,FALSE
747,Chile,12,GK,Miguel Pinto,C.F. Universidad de Chile,CHI,7/4/1983,FALSE
748,Chile,13,MF,Marco Estrada (footballer),C.F. Universidad de Chile,CHI,5/28/1983,FALSE
749,Chile,14,MF,,Sporting Clube de Portugal,POR,5/15/1986,FALSE
750,Chile,15,FW,Jean Beausejour,Club AmÃ©rica,MEX,6/1/1984,FALSE
751,Chile,16,FW,,Xerez CD,ESP,1/27/1986,FALSE
752,Chile,17,DF,Gary Medel,Boca Junio,ARG,8/3/1987,FALSE
753,Chile,18,DF,Gonzalo Jara,West Bromwich Albion F.C.,ENG,8/29/1985,FALSE
754,Chile,19,MF,Gonzalo Fierro,Clube de Regatas do Flamengo,BRA,3/21/1983,FALSE
755,Chile,20,MF,Rodrigo Millar,Colo-Co,CHI,11/3/1981,FALSE
756,Chile,21,MF,Rodrigo Tello,BeÅŸiktaÅŸ J.K.,TUR,10/14/1979,FALSE
757,Chile,22,FW,Esteban Paredes,Colo-Co,CHI,8/1/1980,FALSE
758,Chile,23,GK,,UniÃ³n EspaÃ±o,CHI,5/18/1983,FALSE
